id,produit_id,dimension1,dimension2,dimension3,longueur,unite
559,559,17058-1000-020,,,,po
560,560,17058-1000-021,,,,po
561,561,17058-1000-022,,,,po
562,562,17058-100-005,,,,po
563,563,17058-100-006,,,,po
564,564,17058-1000-101_Rev1,,,,po
565,565,17058-1000-120_Rev1,,,,po
566,566,17058-100-021,,,,po
567,567,17058-100-022,,,,po
568,568,17058-100-030,,,,po
569,569,17058-1100-001,,,,po
570,570,17058-1100-001,,,,po
571,571,17058-1100-002,,,,po
572,572,17058-1100-003,,,,po
573,573,17058-1100-004,,,,po
574,574,17058-1100-005,,,,po
575,575,17058-1100-007,,,,po
576,576,17058-1100-010,,,,po
577,577,17058-1100-011,,,,po
578,578,17058-1100-022,,,,po
579,579,17058-1100-102,,,,po
580,580,17058-1100-103,,,,po
581,581,17058-1100-103,,,,po
582,582,17058-1200-001,,,,po
583,583,17058-1200-009,,,,po
584,584,17058-1200-010,,,,po
585,585,17058-1200-011,,,,po
586,586,17058-1200-012,,,,po
587,587,17058-1200-013,,,,po
588,588,17058-1200-102,,,,po
589,589,17058-1200-102,,,,po
590,590,17058-1200-107,,,,po
591,591,17058-1200-109,,,,po
592,592,17058-1200-111,,,,po
593,593,17058-1300-001,,,,po
594,594,17058-1300-002,,,,po
595,595,17058-1300-103,,,,po
596,596,17058-200-001,,,,po
597,597,17058-200-001_REV1,,,,po
598,598,17058-200-002,,,,po
599,599,17058-200-006,,,,po
600,600,17058-200-010,,,,po
601,601,17058-200-016,,,,po
602,602,17058-200-017-1,,,,po
603,603,17058-200-017-2,,,,po
604,604,17058-200-017-3,,,,po
605,605,17058-200-050,,,,po
606,606,17058-200-053,,,,po
607,607,17058-200-062_REV1,,,,po
608,608,17058-200-069,,,,po
609,609,17058-200-070,,,,po
610,610,17058-200-072,,,,po
611,611,17058-200-074,,,,po
612,612,17058-200-074_REV1,,,,po
613,613,17058-200-077,,,,po
614,614,17058-200-078,,,,po
615,615,17058-200-083,,,,po
616,616,17058-200-085,,,,po
617,617,17058-200-086,,,,po
618,618,17058-300-003,,,,po
